PATTERN: 0xff00
PING 202.141.80.14 (202.141.80.14) 56(84) bytes of data.
64 bytes from 202.141.80.14: icmp_seq=242 ttl=63 time=0.244 ms
64 bytes from 202.141.80.14: icmp_seq=243 ttl=63 time=0.188 ms
64 bytes from 202.141.80.14: icmp_seq=244 ttl=63 time=0.175 ms
64 bytes from 202.141.80.14: icmp_seq=245 ttl=63 time=0.209 ms
64 bytes from 202.141.80.14: icmp_seq=246 ttl=63 time=0.236 ms
64 bytes from 202.141.80.14: icmp_seq=247 ttl=63 time=0.252 ms
64 bytes from 202.141.80.14: icmp_seq=248 ttl=63 time=0.268 ms
64 bytes from 202.141.80.14: icmp_seq=249 ttl=63 time=0.256 ms
64 bytes from 202.141.80.14: icmp_seq=250 ttl=63 time=0.229 ms
64 bytes from 202.141.80.14: icmp_seq=251 ttl=63 time=0.235 ms
64 bytes from 202.141.80.14: icmp_seq=252 ttl=63 time=0.236 ms
64 bytes from 202.141.80.14: icmp_seq=253 ttl=63 time=0.217 ms
64 bytes from 202.141.80.14: icmp_seq=254 ttl=63 time=0.211 ms
64 bytes from 202.141.80.14: icmp_seq=255 ttl=63 time=0.239 ms
64 bytes from 202.141.80.14: icmp_seq=256 ttl=63 time=0.202 ms
64 bytes from 202.141.80.14: icmp_seq=257 ttl=63 time=0.201 ms
64 bytes from 202.141.80.14: icmp_seq=258 ttl=63 time=0.250 ms
64 bytes from 202.141.80.14: icmp_seq=259 ttl=63 time=0.235 ms
64 bytes from 202.141.80.14: icmp_seq=260 ttl=63 time=0.230 ms
64 bytes from 202.141.80.14: icmp_seq=261 ttl=63 time=0.248 ms
64 bytes from 202.141.80.14: icmp_seq=262 ttl=63 time=0.259 ms
64 bytes from 202.141.80.14: icmp_seq=263 ttl=63 time=0.259 ms
64 bytes from 202.141.80.14: icmp_seq=264 ttl=63 time=0.232 ms
64 bytes from 202.141.80.14: icmp_seq=265 ttl=63 time=0.257 ms
64 bytes from 202.141.80.14: icmp_seq=266 ttl=63 time=0.210 ms
64 bytes from 202.141.80.14: icmp_seq=267 ttl=63 time=0.196 ms
64 bytes from 202.141.80.14: icmp_seq=268 ttl=63 time=0.314 ms
64 bytes from 202.141.80.14: icmp_seq=269 ttl=63 time=0.226 ms
64 bytes from 202.141.80.14: icmp_seq=270 ttl=63 time=0.228 ms
64 bytes from 202.141.80.14: icmp_seq=271 ttl=63 time=0.212 ms
64 bytes from 202.141.80.14: icmp_seq=272 ttl=63 time=0.198 ms
64 bytes from 202.141.80.14: icmp_seq=273 ttl=63 time=0.225 ms
64 bytes from 202.141.80.14: icmp_seq=274 ttl=63 time=0.216 ms
64 bytes from 202.141.80.14: icmp_seq=275 ttl=63 time=0.249 ms
64 bytes from 202.141.80.14: icmp_seq=276 ttl=63 time=0.240 ms
64 bytes from 202.141.80.14: icmp_seq=277 ttl=63 time=0.233 ms
64 bytes from 202.141.80.14: icmp_seq=278 ttl=63 time=0.256 ms
64 bytes from 202.141.80.14: icmp_seq=279 ttl=63 time=0.185 ms
64 bytes from 202.141.80.14: icmp_seq=280 ttl=63 time=0.245 ms
64 bytes from 202.141.80.14: icmp_seq=281 ttl=63 time=0.223 ms
64 bytes from 202.141.80.14: icmp_seq=282 ttl=63 time=0.215 ms
64 bytes from 202.141.80.14: icmp_seq=283 ttl=63 time=0.221 ms
64 bytes from 202.141.80.14: icmp_seq=284 ttl=63 time=0.226 ms
64 bytes from 202.141.80.14: icmp_seq=285 ttl=63 time=0.243 ms
64 bytes from 202.141.80.14: icmp_seq=286 ttl=63 time=0.245 ms
64 bytes from 202.141.80.14: icmp_seq=287 ttl=63 time=0.245 ms
64 bytes from 202.141.80.14: icmp_seq=288 ttl=63 time=0.238 ms
64 bytes from 202.141.80.14: icmp_seq=289 ttl=63 time=0.219 ms
64 bytes from 202.141.80.14: icmp_seq=290 ttl=63 time=0.238 ms
64 bytes from 202.141.80.14: icmp_seq=291 ttl=63 time=0.241 ms
64 bytes from 202.141.80.14: icmp_seq=292 ttl=63 time=0.243 ms
64 bytes from 202.141.80.14: icmp_seq=293 ttl=63 time=0.219 ms
64 bytes from 202.141.80.14: icmp_seq=294 ttl=63 time=0.245 ms
64 bytes from 202.141.80.14: icmp_seq=295 ttl=63 time=0.202 ms
64 bytes from 202.141.80.14: icmp_seq=296 ttl=63 time=0.253 ms
64 bytes from 202.141.80.14: icmp_seq=297 ttl=63 time=0.268 ms
